text_id,character_length,word_count,mean_word_length,median_word_length,freq_coverage_ratio,freq_mean,freq_median,surprisal_mean_nats,surprisal_mean_bits,m,f,e
68,-0.17960643341827812,-0.4228510838868539,1.346553800387891,0.7934247353702998,1.1018482877903577,-1.074613990084796,-0.7848854188772749,-0.5050267529225017,-0.5050267529225038,O,F,P
69,-0.05446497545463242,-0.3273405721259629,1.2398754875375406,0.7934247353702998,0.4300619636852635,-1.269742268050648,-0.8551310456606227,-1.4024890555397895,-1.402489055539792,O,F,D
70,0.25056732833175394,-0.23183006036507195,1.8600066799759403,2.5745823045689322,0.4468566217878909,-1.823386864865852,-0.9102642896509402,-0.11213781780505776,-0.11213781780506037,O,F,D
13,-1.4466636953001908,-1.0914246662130906,-1.2353563336675666,-0.9877328338283329,-1.4336033225417848,-0.5113972992700736,0.272962788218132,1.2811767848053368,1.281176784805333,M,D,D
16,0.07067648250901327,0.006946219037155497,-0.053472057781455286,0.7934247353702998,1.1018482877903577,0.7587967148844571,-0.33852176818965063,-1.253972496509498,-1.2539724965095,M,D,P
22,-0.3986039848546581,-0.3750958280064084,0.03778177173901832,0.7934247353702998,0.4213374659696103,0.6058415826705985,-0.5431802362723868,-0.5041197883116159,-0.5041197883116182,M,D,P
25,-0.7662070176228672,-0.7571378750499723,0.36841158884217623,-0.9877328338283329,-0.4169729667081225,-0.2451881079102001,-0.7414442890035823,-1.0084444735122133,-1.0084444735122142,M,F,Z
29,0.844989253659071,1.0575618484069562,-1.0900985043434517,-0.9877328338283329,-0.3672918976357358,0.32383022383024385,-0.3643968442633262,-0.3573645997091373,-0.3573645997091386,M,F,S
32,-0.023179610963720995,-0.18407480448462646,0.7644326364390707,0.7934247353702998,1.1018482877903577,-0.779983159792212,-0.8159838400491566,-1.3196795965208044,-1.319679596520806,M,F,S
35,-0.9148124989546965,-0.5661168515281904,-1.4560309169865164,-0.9877328338283329,1.1018482877903577,1.5535969831359402,0.31798393351299,-0.34334176148844414,-0.3433417614884465,M,F,P
42,-0.14832106892736668,-0.08856429272373548,-0.3195374402387341,-0.9877328338283329,-0.7921035175179872,-0.0075419632043862836,-0.6433346255575623,-0.27494696696600907,-0.27494696696601173,O,D,P
45,0.015927094649918285,0.2934777543198284,-1.200663057467386,-0.9877328338283329,-0.04978541067552392,-0.04463702632949047,1.4523234754095284,0.9375381928834868,0.9375381928834855,O,D,D
46,-0.19524911566373382,-0.5661168515281904,1.6378489194952377,0.7934247353702998,-0.3337498842698487,-1.169305812790227,-0.9614567892967035,-0.18402187859174995,-0.18402187859175143,O,D,S
51,0.4773862208908618,0.5322540337220558,-0.5135434482804995,-0.09715404922901655,0.010195511119573784,0.537397806677599,1.4062985556118124,-0.1800084334378711,-0.18000843343787298,O,D,S
55,0.9466666882545332,0.7232750572438378,0.4484240045811406,0.7934247353702998,1.1018482877903577,-0.7337156376917228,-0.47938479009073826,-1.202680978277374,-1.2026809782773755,O,F,S
56,0.5399569498726846,0.3412330102002739,0.5138887083675668,0.7934247353702998,1.1018482877903577,-1.758650631204981,-0.7690294994154606,-1.8588364968880757,-1.858836496888077,O,F,P
57,-0.20307045678646168,-0.08856429272373548,-0.6218844657583692,-0.9877328338283329,0.4705310193542408,0.027626857079978986,0.7661878374558538,0.24102046320284667,0.24102046320284423,O,F,S
58,0.9388453471318052,1.2008276160482927,-1.1713314694072359,-0.9877328338283329,0.6254907125158374,0.7585424410091479,2.6526518966606276,0.910732543451218,0.9107325434512156,O,F,S
59,1.1813069219363688,1.0098065925265107,0.09804373462989426,0.7934247353702998,1.1018482877903577,0.6934471718092627,-0.6981146896302074,-1.1441318989100142,-1.1441318989100158,O,F,Z
