text_id,character_length,word_count,mean_word_length,median_word_length,freq_coverage_ratio,freq_mean,freq_median,conc_coverage_ratio,conc_mean,conc_median,surprisal_mean_nats,surprisal_mean_bits
29,679,107,5.186915887850467,5.0,0.9719626168224299,1970.8958394219017,16.516500133960164,,,,1.8045146421108829,2.6033643253848937
30,653,101,5.306930693069307,5.0,0.9504950495049505,2253.516725219363,12.135876052628765,,,,2.1225901774203852,3.062250322804015
31,674,113,4.884955752212389,5.0,0.9911504424778761,2240.476465213788,10.572658482698088,,,,2.658655202256767,3.8356286757294815
32,568,81,5.925925925925926,6.0,1.0,1415.5670209525244,5.806740505111922,,,,1.4856799646836236,2.1433831173971543
33,395,58,5.672413793103448,5.0,0.9827586206896551,2641.533993300911,30.09524451890227,,,,1.8638079358942403,2.688906466284115
34,625,83,6.289156626506024,6.0,1.0,1202.568524882876,12.652099339258438,,,,2.3562790307218213,3.399392072573025
35,454,73,5.041095890410959,5.0,1.0,2589.591836019577,32.69972545605693,,,,1.8091606957581006,2.6100671639414386
36,543,82,5.512195121951219,6.0,0.9634146341463414,1854.9323141074867,13.84853828026009,,,,1.7787751732460877,2.5662301212985374
37,487,69,5.855072463768116,6.0,0.9565217391304348,2860.1673743429606,13.085003922922263,,,,1.8618259313300776,2.6860470381283785
38,578,91,5.263736263736264,5.0,0.9340659340659341,1801.4349059894107,15.457603178806895,,,,2.327317445146234,3.3576093366868442
39,720,101,5.97029702970297,6.0,0.9306930693069307,974.0898554318031,5.470379815360905,,,,1.754073698758858,2.530593426553166
40,658,100,5.45,6.0,1.0,2484.721331450507,45.64454235494142,,,,1.7213673777455858,2.483408179421596
41,662,93,5.946236559139785,5.0,0.967741935483871,2395.9802570920792,50.39988017977002,,,,1.8923559200547653,2.7300925014598816
42,552,83,5.493975903614458,5.0,0.963855421686747,1804.1824005110213,9.90125962229075,,,,1.8318212926744055,2.6427594947361754
43,455,68,5.4411764705882355,6.0,1.0,1559.9133596995666,45.14727517533572,,,,1.8552591562997975,2.6765731843575606
45,573,91,5.142857142857143,5.0,0.978021978021978,1785.5198639971886,59.60152720096658,,,,2.2335424714015106,3.2223206471058385
46,546,73,6.273972602739726,6.0,0.9726027397260274,1219.6986865940241,2.356729026748279,,,,1.8619466376164482,2.6862211804891296
51,632,96,5.416666666666667,5.5,0.9791666666666666,2078.341749396978,58.51000810814415,,,,1.8632763742362124,2.688139584916152
52,741,113,5.424778761061947,5.0,0.9911504424778761,2325.6836939583122,52.34354240927492,,,,2.1500510859118545,3.1018680393029627
54,620,99,5.171717171717172,5.0,0.9595959595959596,2261.5192344131856,100.88528326099704,,,,2.8354466534612466,4.090684825653748
55,692,100,5.8,6.0,1.0,1438.8442241127632,13.789465760697002,,,,1.5244440043490886,2.1993078051873436
56,640,92,5.826086956521739,6.0,1.0,923.1991455146629,6.920301582845957,,,,1.3070462356231562,1.8856691223461153
57,545,83,5.373493975903615,5.0,0.9879518072289156,1821.8758437191336,43.329252259826944,,,,2.002771875078199,2.889389052207208
58,691,110,5.154545454545454,5.0,0.990909090909091,2189.599676068563,88.06830987459983,,,,2.2246612104648293,3.2095076959956477
59,722,106,5.660377358490566,6.0,1.0,2156.850228137351,8.602105031601042,,,,1.5438425140840548,2.2272939389826156
61,502,74,5.662162162162162,6.0,1.0,1850.3626893939309,43.492803787871026,,,,2.2084723187001054,3.1861520621291928
62,664,92,5.989130434782608,6.0,0.967391304347826,1827.6045118640407,11.073011540191409,,,,1.7263664194832178,2.4906202721456743
63,636,102,5.049019607843137,5.0,0.9705882352941176,1972.4780058200347,24.244420043967146,,,,2.001995554816744,2.8882690588158657
64,477,68,5.926470588235294,6.0,0.9705882352941176,1044.9331706888663,6.793339749755141,,,,1.8697610078538063,2.697494933678237
65,632,89,6.01123595505618,6.0,0.9887640449438202,1015.0874881948889,5.373835921448096,,,,1.7713310317541118,2.555490495284388
66,477,72,5.555555555555555,6.0,0.9861111111111112,1995.8699436150348,7.033156545593349,,,,1.490395188719228,2.150185747730001
67,698,89,6.764044943820225,7.0,0.9775280898876404,1296.26586442253,3.7109885797169873,,,,1.4752983341165675,2.128405590461721
68,548,76,6.157894736842105,6.0,1.0,1267.3381687763717,6.54426532025406,,,,1.7555911449774266,2.5327826386875105
69,564,78,6.115384615384615,6.0,0.9871794871794872,1169.1690781850546,4.878332100635327,,,,1.4582434940459212,2.103800657268645
70,603,80,6.3625,7.0,0.9875,890.6303284623908,3.570801555679211,,,,1.885763299945334,2.72058136112154
